date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:29	36018/36018	---M-Z	200	added ('OK')	text/html	etag:%22c9c9e68daa76d31:0%22	http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm	C:/My%20Web%20Sites/nios%20results/old.nios.ac.in-results.in/nosresults/nos/oldmassr.html	(from )
10:31:30	4884/4884	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Sep%202022%2004:46:29%20GMT	http://old.nios.ac.in-results.in/robots.txt		(from )
10:31:30	0/0	---M--	302	error ('Found')	text/html		http://nios.ac.in/css/reset.css	C:/My%20Web%20Sites/nios%20results/nios.ac.in/css/reset.1.delayed	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:30	1255/1255	---M-Z	200	added ('OK')	text/css	etag:%22801dfff4012cd1:0%22	https://nios.ac.in/css/reset.css	C:/My%20Web%20Sites/nios%20results/nios.ac.in/css/reset.css	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:31	0/0	---M--	302	error ('Found')	text/html		http://nios.ac.in/css/nios-internal.css	C:/My%20Web%20Sites/nios%20results/nios.ac.in/css/nios-internal.3.delayed	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:31	26639/26639	---M-Z	200	added ('OK')	text/css	etag:%22808ce07d27f8d71:0%22	https://nios.ac.in/css/nios-internal.css	C:/My%20Web%20Sites/nios%20results/nios.ac.in/css/nios-internal.css	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:31	0/0	---M--	302	error ('Found')	text/html		http://nios.ac.in/css/TJK_keyBoardDropDown.css	C:/My%20Web%20Sites/nios%20results/nios.ac.in/css/TJK_keyBoardDropDown.5.delayed	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:32	6956/6956	---M-Z	200	added ('OK')	text/css	etag:%2205357ed428dd71:0%22	https://nios.ac.in/css/TJK_keyBoardDropDown.css	C:/My%20Web%20Sites/nios%20results/nios.ac.in/css/TJK_keyBoardDropDown.css	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:32	0/0	---M--	302	error ('Found')	text/html		http://nios.ac.in/scripts/copy%20of%20leftbar.js	C:/My%20Web%20Sites/nios%20results/nios.ac.in/scripts/copy%20of%20leftbar.7.delayed	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:33	4172/4172	---M-Z	200	added ('OK')	application/javascript	etag:%22064fcfa212ccd1:0%22	https://nios.ac.in/scripts/copy%20of%20leftbar.js	C:/My%20Web%20Sites/nios%20results/nios.ac.in/scripts/copy%20of%20leftbar.js	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:33	0/0	---M--	302	error ('Found')	text/html		http://nios.ac.in/images/line.gif	C:/My%20Web%20Sites/nios%20results/nios.ac.in/images/line.9.delayed	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
10:31:33	48/48	---M--	200	added ('OK')	image/gif	etag:%220944bc72fe7cc1:0%22	https://nios.ac.in/images/line.gif	C:/My%20Web%20Sites/nios%20results/nios.ac.in/images/line.gif	(from http://old.nios.ac.in-results.in/nosresults/nos/oldmassr.htm)
